timestamp,instrument,confidence,device,source_type,fps,ram_usage_mb
2025-07-26 07:59:11,bombo_andino,0.50,cpu,video_test,31.37,627.52
2025-07-26 07:59:11,bombo_andino,0.50,cpu,video_test,31.32,627.52
2025-07-26 07:59:11,bombo_andino,0.44,cpu,video_test,31.63,627.52
2025-07-26 07:59:11,bombo_andino,0.48,cpu,video_test,28.47,627.52
2025-07-26 07:59:11,bombo_andino,0.29,cpu,video_test,28.47,627.52
2025-07-26 07:59:12,bombo_andino,0.44,cpu,video_test,29.78,627.52
2025-07-26 07:59:12,bombo_andino,0.75,cpu,video_test,29.55,627.52
2025-07-26 07:59:12,bombo_andino,0.66,cpu,video_test,35.91,627.52
2025-07-26 07:59:12,bombo_andino,0.57,cpu,video_test,29.78,627.52
2025-07-26 07:59:14,pingullo,0.26,cpu,video_test,31.81,627.95
2025-07-26 07:59:15,bombo_andino,0.31,cpu,video_test,31.32,627.95
2025-07-26 07:59:16,pingullo,0.42,cpu,video_test,29.78,627.13
2025-07-26 07:59:18,bombo_andino,0.42,cpu,video_test,31.27,627.13
2025-07-26 07:59:18,bombo_andino,0.28,cpu,video_test,59.31,627.13
2025-07-26 07:59:18,bombo_andino,0.28,cpu,video_test,31.58,627.13
2025-07-26 07:59:19,bombo_andino,0.32,cpu,video_test,31.50,627.13
2025-07-26 07:59:19,bombo_andino,0.36,cpu,video_test,31.49,627.13
2025-07-26 07:59:19,bombo_andino,0.33,cpu,video_test,31.80,627.13
2025-07-26 07:59:25,pingullo,0.44,cpu,video_test,31.48,627.28
2025-07-26 07:59:32,bombo_andino,0.52,cpu,video_test,31.53,627.70
2025-07-26 07:59:32,bombo_andino,0.35,cpu,video_test,62.45,627.70
2025-07-26 07:59:32,bombo_andino,0.51,cpu,video_test,29.38,627.70
2025-07-26 07:59:32,bombo_andino,0.61,cpu,video_test,29.78,627.70
2025-07-26 07:59:32,bombo_andino,0.30,cpu,video_test,29.78,627.70
2025-07-26 07:59:32,bombo_andino,0.72,cpu,video_test,29.55,627.70
2025-07-26 07:59:32,bombo_andino,0.36,cpu,video_test,29.78,627.70
2025-07-26 07:59:32,bombo_andino,0.64,cpu,video_test,29.78,627.70
2025-07-26 07:59:32,bombo_andino,0.42,cpu,video_test,28.56,627.70
2025-07-26 07:59:32,bombo_andino,0.62,cpu,video_test,29.04,627.70
2025-07-26 07:59:32,bombo_andino,0.79,cpu,video_test,29.76,627.70
2025-07-26 07:59:33,bombo_andino,0.93,cpu,video_test,31.67,627.70
2025-07-26 07:59:33,bombo_andino,0.94,cpu,video_test,31.90,627.70
2025-07-26 07:59:33,bombo_andino,0.96,cpu,video_test,29.77,627.70
2025-07-26 07:59:33,bombo_andino,0.95,cpu,video_test,29.78,627.70
2025-07-26 07:59:33,bombo_andino,0.95,cpu,video_test,29.77,627.70
2025-07-26 07:59:33,bombo_andino,0.79,cpu,video_test,31.84,627.70
2025-07-26 07:59:33,bombo_andino,0.91,cpu,video_test,30.52,627.70
2025-07-26 07:59:33,bombo_andino,0.91,cpu,video_test,29.74,627.70
2025-07-26 07:59:33,bombo_andino,0.91,cpu,video_test,31.44,627.70
2025-07-26 07:59:33,bombo_andino,0.84,cpu,video_test,31.77,627.70
2025-07-26 07:59:33,bombo_andino,0.69,cpu,video_test,31.93,627.70
2025-07-26 07:59:33,bombo_andino,0.63,cpu,video_test,31.53,627.70
2025-07-26 07:59:34,bombo_andino,0.67,cpu,video_test,31.80,627.70
2025-07-26 07:59:34,bombo_andino,0.43,cpu,video_test,31.73,627.70
2025-07-26 07:59:34,bombo_andino,0.57,cpu,video_test,29.85,627.70
2025-07-26 07:59:34,bombo_andino,0.31,cpu,video_test,29.85,627.70
2025-07-26 07:59:34,bombo_andino,0.84,cpu,video_test,27.88,627.70
2025-07-26 07:59:34,bombo_andino,0.46,cpu,video_test,27.88,627.70
2025-07-26 07:59:34,bombo_andino,0.91,cpu,video_test,29.74,627.70
2025-07-26 07:59:34,bombo_andino,0.42,cpu,video_test,29.74,627.70
2025-07-26 07:59:34,bombo_andino,0.84,cpu,video_test,28.42,627.70
2025-07-26 07:59:34,bombo_andino,0.48,cpu,video_test,28.42,627.70
2025-07-26 07:59:34,bombo_andino,0.41,cpu,video_test,31.53,627.70
2025-07-26 07:59:34,bombo_andino,0.80,cpu,video_test,60.24,627.70
2025-07-26 07:59:34,bombo_andino,0.39,cpu,video_test,60.24,627.70
2025-07-26 07:59:34,bombo_andino,0.59,cpu,video_test,28.15,627.70
